schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date,source_name,arxiv_id
1.0,RESEARCH_PAPER,Towards K-means-friendly Spaces: Simultaneous Deep Learning and Clustering,,http://arxiv.org/abs/1610.04794v2,https://github.com/boyangumn/DCN,,,Papers With Code / arXiv,1610.04794
1.0,RESEARCH_PAPER,Tencent ML-Images: A Large-Scale Multi-Label Image Database for Visual Representation Learning,,https://arxiv.org/abs/1901.01703v7,https://github.com/Tencent/tencent-ml-images,,,Papers With Code / arXiv,1901.01703
1.0,RESEARCH_PAPER,Event Graphs: Advances and Applications of Second-Order Time-Unfolded Temporal Network Models,,http://arxiv.org/abs/1809.03457v1,https://github.com/empiricalstateofmind/eventgraphs,,,Papers With Code / arXiv,1809.03457
1.0,RESEARCH_PAPER,Supervised Learning of Universal Sentence Representations from Natural Language Inference Data,,http://arxiv.org/abs/1705.02364v5,https://github.com/facebookresearch/InferSent,,,Papers With Code / arXiv,1705.02364
1.0,RESEARCH_PAPER,Efficient training of energy-based models via spin-glass control,,https://arxiv.org/abs/1910.01592v4,https://github.com/apozas/rapid,,,Papers With Code / arXiv,1910.01592
1.0,RESEARCH_PAPER,General Purpose Atomic Crosschain Transactions,,https://arxiv.org/abs/2011.12783v4,https://github.com/ConsenSys/gpact,,,Papers With Code / arXiv,2011.12783
1.0,RESEARCH_PAPER,MS-DPPs: Multi-Source Determinantal Point Processes for Contextual Diversity Refinement of Composite Attributes in Text to Image Retrieval,,https://arxiv.org/abs/2507.06654v1,https://github.com/nec-n-sogi/msdpp,,,Papers With Code / arXiv,2507.06654
1.0,RESEARCH_PAPER,Semantic Document Distance Measures and Unsupervised Document Revision Detection,,http://arxiv.org/abs/1709.01256v2,https://github.com/XiaofengZhu/wDTW-wTED,,,Papers With Code / arXiv,1709.01256
1.0,RESEARCH_PAPER,Benchmarking machine learning models on multi-centre eICU critical care dataset,,https://arxiv.org/abs/1910.00964v3,https://github.com/mostafaalishahi/eICU_Benchmark,,,Papers With Code / arXiv,1910.00964
1.0,RESEARCH_PAPER,1-OGC: The first open gravitational-wave catalog of binary mergers from analysis of public Advanced LIGO data,,http://arxiv.org/abs/1811.01921v2,https://github.com/gwastro/1-ogc,,,Papers With Code / arXiv,1811.01921
1.0,RESEARCH_PAPER,Modeling the Dynamics of Online Learning Activity,,http://arxiv.org/abs/1610.05775v1,https://github.com/Networks-Learning/hdhp.py,,,Papers With Code / arXiv,1610.05775
1.0,RESEARCH_PAPER,audino: A Modern Annotation Tool for Audio and Speech,,https://arxiv.org/abs/2006.05236v2,https://github.com/midas-research/audino,,,Papers With Code / arXiv,2006.05236
1.0,RESEARCH_PAPER,Breaking the Nonsmooth Barrier: A Scalable Parallel Method for Composite Optimization,,http://arxiv.org/abs/1707.06468v3,https://github.com/fabianp/ProxASAGA,,,Papers With Code / arXiv,1707.06468
1.0,RESEARCH_PAPER,Constrained-size Tensorflow Models for YouTube-8M Video Understanding Challenge,,http://arxiv.org/abs/1808.06739v3,https://github.com/boliu61/youtube-8m,,,Papers With Code / arXiv,1808.06739
1.0,RESEARCH_PAPER,Accelerating Deep Unsupervised Domain Adaptation with Transfer Channel Pruning,,http://arxiv.org/abs/1904.02654v1,https://github.com/jindongwang/transferlearning,,,Papers With Code / arXiv,1904.02654
1.0,RESEARCH_PAPER,Context-Aware Attentive Knowledge Tracing,,https://arxiv.org/abs/2007.12324v1,https://github.com/arghosh/AKT,,,Papers With Code / arXiv,2007.12324
1.0,RESEARCH_PAPER,Implicit self-consistent description of electrolyte in plane-wave density-functional theory,,http://arxiv.org/abs/1601.03346v1,https://github.com/henniggroup/VASPsol,,,Papers With Code / arXiv,1601.03346
1.0,RESEARCH_PAPER,Fast and Robust Multiple ColorChecker Detection using Deep Convolutional Neural Networks,,http://arxiv.org/abs/1810.08639v1,https://github.com/pedrodiamel/colorchacker-detection,,,Papers With Code / arXiv,1810.08639
1.0,RESEARCH_PAPER,Decision Stream: Cultivating Deep Decision Trees,,http://arxiv.org/abs/1704.07657v3,https://github.com/aiff22/Decision-Stream,,,Papers With Code / arXiv,1704.07657
1.0,RESEARCH_PAPER,Addressee and Response Selection in Multi-Party Conversations with Speaker Interaction RNNs,,http://arxiv.org/abs/1709.04005v2,https://github.com/ryanzhumich/sirnn,,,Papers With Code / arXiv,1709.04005
1.0,RESEARCH_PAPER,Interpret Federated Learning with Shapley Values,,https://arxiv.org/abs/1905.04519v1,https://github.com/crownpku/federated_shap,,,Papers With Code / arXiv,1905.04519
1.0,RESEARCH_PAPER,Hierarchy-of-Visual-Words: a Learning-based Approach for Trademark Image Retrieval,,https://arxiv.org/abs/1908.02786v1,https://github.com/Prograf-UFF/HoVW,,,Papers With Code / arXiv,1908.02786
1.0,RESEARCH_PAPER,Scene relighting with illumination estimation in the latent space on an encoder-decoder scheme,,https://arxiv.org/abs/2006.02333v1,https://github.com/martin-ev/2DSceneRelighting,,,Papers With Code / arXiv,2006.02333
1.0,RESEARCH_PAPER,M-FUSE: Multi-frame Fusion for Scene Flow Estimation,,https://arxiv.org/abs/2207.05704v2,https://github.com/cv-stuttgart/m-fuse,,,Papers With Code / arXiv,2207.05704
1.0,RESEARCH_PAPER,A FOFE-based Local Detection Approach for Named Entity Recognition and Mention Detection,,http://arxiv.org/abs/1611.00801v1,https://github.com/xmb-cipher/fofe-ner,,,Papers With Code / arXiv,1611.00801
1.0,RESEARCH_PAPER,Teacher-Student Curriculum Learning,,http://arxiv.org/abs/1707.00183v2,https://github.com/tambetm/TSCL,,,Papers With Code / arXiv,1707.00183
1.0,RESEARCH_PAPER,Extending Text-to-Speech Synthesis with Articulatory Movement Prediction using Ultrasound Tongue Imaging,,https://arxiv.org/abs/2107.05550v1,https://github.com/BME-SmartLab/txt2ult,,,Papers With Code / arXiv,2107.05550
1.0,RESEARCH_PAPER,MetaPruning: Meta Learning for Automatic Neural Network Channel Pruning,,https://arxiv.org/abs/1903.10258v3,https://github.com/liuzechun/MetaPruning,,,Papers With Code / arXiv,1903.10258
1.0,RESEARCH_PAPER,Variational Adversarial Active Learning,,https://arxiv.org/abs/1904.00370v3,https://github.com/sinhasam/vaal,,,Papers With Code / arXiv,1904.00370
1.0,RESEARCH_PAPER,Simple non-perturbative resummation schemes beyond mean-field: case study for scalar $φ^4$ theory in 1+1 dimensions,,http://arxiv.org/abs/1901.05483v1,https://github.com/paro8929/Resummation,,,Papers With Code / arXiv,1901.05483
1.0,RESEARCH_PAPER,FibeR-CNN: Expanding Mask R-CNN to Improve Image-Based Fiber Analysis,,https://arxiv.org/abs/2006.04552v2,https://github.com/maxfrei750/synthPIC4Python,,,Papers With Code / arXiv,2006.04552
1.0,RESEARCH_PAPER,Probabilistic FastText for Multi-Sense Word Embeddings,,http://arxiv.org/abs/1806.02901v1,https://github.com/benathi/multisense-prob-fasttext,,,Papers With Code / arXiv,1806.02901
1.0,RESEARCH_PAPER,Effective obstruction to lifting Tate classes from positive characteristic,,https://arxiv.org/abs/2003.11037v3,https://github.com/edgarcosta/crystalline_obstruction,,,Papers With Code / arXiv,2003.11037
1.0,RESEARCH_PAPER,FALCON: An accurate real-time monitor for client-based mobile network data analytics,,https://arxiv.org/abs/1907.10110v2,https://github.com/falkenber9/falcon,,,Papers With Code / arXiv,1907.10110
